INFO:root:episode:2450 e_greed:0.1801039999999801 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [0, 7], [2, 5], [1, 1], [0, 4], [3, 3]]
INFO:root:episode:2500 e_greed:0.1797039999999797 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [0, 7], [2, 5], [0, 4], [3, 3]]
INFO:root:episode:2550 e_greed:0.1793039999999793 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [0, 7], [2, 5], [3, 3], [0, 4]]
INFO:root:episode:2600 e_greed:0.1789039999999789 Cost: 10.81288837738215 Reward:-38.379131885642856 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [1, 7], [2, 5], [1, 4], [3, 3]]
INFO:root:episode:2650 e_greed:0.1785039999999785 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [1, 4], [0, 7], [2, 5], [3, 3]]
INFO:root:episode:2700 e_greed:0.1781039999999781 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [0, 7], [1, 1], [1, 4], [3, 3], [2, 5]]
INFO:root:episode:2750 e_greed:0.1777039999999777 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [0, 7], [1, 4], [1, 1], [3, 3], [2, 5]]
INFO:root:episode:2800 e_greed:0.1773039999999773 Cost: 10.81288837738215 Reward:-38.379131885642856 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 4], [1, 1], [1, 7], [2, 5], [3, 3]]
INFO:root:episode:2850 e_greed:0.1769039999999769 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [1, 4], [3, 3], [2, 5], [0, 7]]
INFO:root:episode:2900 e_greed:0.1765039999999765 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [1, 4], [3, 3], [0, 7], [2, 5]]
INFO:root:episode:2950 e_greed:0.1761039999999761 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [0, 7], [2, 5], [3, 3], [1, 4]]
INFO:root:episode:3000 e_greed:0.1757039999999757 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [0, 7], [2, 5], [3, 3], [0, 4]]
INFO:root:episode:3050 e_greed:0.1753039999999753 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [0, 7], [1, 1], [1, 4], [2, 5], [3, 3]]
INFO:root:episode:3100 e_greed:0.1749039999999749 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [0, 7], [0, 2], [1, 1], [3, 3], [1, 4], [2, 5]]
INFO:root:episode:3150 e_greed:0.1745039999999745 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [0, 7], [2, 5], [3, 3], [1, 1], [1, 4]]
INFO:root:episode:3200 e_greed:0.1741039999999741 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [0, 7], [3, 3], [2, 5], [0, 4]]
INFO:root:episode:3250 e_greed:0.1737039999999737 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [2, 5], [3, 3], [0, 7], [0, 4]]
INFO:root:episode:3300 e_greed:0.1733039999999733 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [1, 1], [0, 7], [2, 5], [3, 3], [0, 4]]
INFO:root:episode:3350 e_greed:0.1729039999999729 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [0, 2], [3, 3], [1, 1], [0, 7], [2, 5], [0, 4]]
